what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769771522394
error,log,,,"Internal Error",1769771525333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769771538754
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769771541175
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769771545545
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769771545802
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769771547658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1769771550456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771562533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771562586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771562697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771565511
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769771565522
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769771573415
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769771576386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771580330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771580382
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769771580392
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769771585643
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769771645490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771697781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771705362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1769771705390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771718347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771721605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771730523
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1769771751120
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1769771751166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771751210
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769771754753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771758677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771781680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1769771781711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771782026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769771783675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1769771792737
