what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621002623
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621002790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621021196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621037623
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621037657
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621037810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769621040936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621045297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621047210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769621047255
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621057652
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621057875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769621059812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621062073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621065386
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769621066128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769621068524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621077478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621081355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621102808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621104325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621106128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621117929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621119862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621121324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621123936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621133904
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769621133945
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621135438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621137305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621138942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621140941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769621145867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621183239
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621183268
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621183433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769621188053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769621205518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769621205936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769621206366
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769621207020
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621209307
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769621209526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769621213345
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1769621213679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621216045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769621217718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769621218413
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769621226368
